iso3_code,country_name,base_che,shock_che,base_oops,shock_oops,base_gghed,shock_gghed,che_delta_pct,oops_delta_pp,gghed_delta_pp
BIH,Bosnia and Herzegovina,2224269494.460555,2394417582.546825,29.352811704555773,30.154026246123095,68.72327422999999,67.89791616000001,7.649616582433745,0.8012145415673224,-0.8253580699999787
BLR,Belarus,4179143401.659354,4583122044.194037,25.690031958575165,24.770572817203707,70.38101959000002,70.88849894333333,9.6665417696430591,-0.9194591413714583,0.5074793533333093
BLZ,Belize,131371353.38535868,130914935.09677073,22.679476029081677,23.218714525762177,68.81703949,67.60655339333334,-0.34742603834574676,0.5392384966805004,-1.2104860966666564
BOL,Bolivia (Plurinational State of),3005991099.9264364,3259553692.8036904,23.991598512898033,23.13069050199988,71.08983612,69.62744903333333,8.435240972052755,-0.8609080108981537,-1.4623870866666664
BRA,Brazil,195476920059.0152,195668620840.65326,24.87984711132035,26.20325900735212,40.74080658,44.47370656333334,0.09806824334053675,1.3234118960317716,3.73289998333334
BRB,Barbados,366993884.7831563,385548343.4014433,46.69363851055895,42.81633649295554,44.879795070000014,49.57253392333334,5.0557950384514445,-3.877302017603405,4.692738853333324
BRN,Brunei Darussalam,339190867.79800206,321906383.3873647,5.500123099188898,6.866779953289829,94.35351563,93.07339986,-5.095798870661455,1.3666568541009303,-1.280115770000009
BTN,Bhutan,93859322.9141662,114693157.57526387,17.790430802967805,23.987212094981857,73.56784821,60.33615239666667,22.196872952248007,6.196781292014052,-13.231695813333324
BWA,Botswana,1068594381.5843024,1059334193.7489296,4.495910074503887,4.536311144603782,71.43073272999999,75.01296742333334,-0.8665765041402906,0.04040107009989491,3.5822346933333478
CAF,Central African Republic,195718340.6937254,240357668.93648645,60.55824678400653,48.965353207580264,10.55165958,14.143828393333331,22.80794333557936,-11.592893576426263,3.5921688133333305
CAN,Canada,225609551961.35635,248002483052.8981,15.428360923643544,14.278475095285302,69.53730773999999,72.52263896,9.92552438354974,-1.1498858283582418,2.985331220000006
CHE,Switzerland,95322780720.83205,101314131370.76546,21.896412627828084,21.275558131282093,33.510017399999995,35.42687098333334,6.285329282913006,-0.6208544965459915,1.9168535833333422
CHL,Chile,29115164999.046776,31211232865.830944,32.3417060868721,32.425434879712185,51.2644577,53.68302536,7.199230596332849,0.08372879284008405,2.418567660000001
CHN,China,796930673058.6183,918665916887.7864,35.23002022441529,33.60448207515644,55.97903823999999,55.49511209999999,15.275512405859404,-1.6255381492588512,-0.4839261399999941
CIV,Côte d'Ivoire,2079362187.477133,2581629174.4777284,37.2604636491989,30.969465876510007,30.205005649999997,39.99807612,24.154858159173813,-6.29099777268889,9.793070470000004
CMR,Cameroon,1622139348.4300947,2013922530.8830054,72.18878148085457,70.09039774917677,11.1423645,13.468503316666666,24.152251952465004,-2.0983837316777993,2.326138816666667
COD,Democratic Republic of the Congo,1925409843.1583977,2286142309.7248607,38.49700449552145,38.641062286270085,15.81804085,17.068623226666666,18.735360050654247,0.1440577907486329,1.2505823766666673
COG,Congo,338232777.88479596,444814322.85980695,42.172037159984626,25.23232316760768,43.84064484,42.624591826666666,31.511299892795513,-16.939713992376944,-1.2160530133333367
