iso3_code,continent,y_2023,y_2000,log_start,log_end,growth
GIN,Africa,59.330099669586644,45.67318842235464,3.8215114391316782,4.0831167601880125,0.011374144393753664
GNB,Africa,82.13543772349323,29.328561766364725,3.3785618455226283,4.408369564296467,0.04477424864234081
GUY,Americas,505.03242192433066,106.2368047042103,4.665670609072986,6.224622629044868,0.06778052260747311
HTI,Americas,54.4146853329153,74.9667778964024,4.317045054018635,3.996634068404397,-0.013930912418010352
HND,Americas,249.15301204389363,143.42057055469118,4.965781366655212,5.518067213933462,0.024012428142532634
HUN,Europe,1420.9935006963726,827.5954317678542,6.718524426000974,7.2591115543332085,0.023503788188358004
ISL,Europe,7099.327803213975,5060.235980132686,8.529168397583927,8.867755382943724,0.0147211732765129
IND,Asia,84.68669733441952,34.69432913613189,3.5465762481257124,4.43895853305915,0.038799229779714686
IDN,Asia,131.77730832607932,38.790599508422474,3.658177936563754,4.881113439765455,0.05317110883485658
IRN,Asia,267.05903261622535,143.4922462051525,4.966281000326247,5.587469729903063,0.027008205633774606
IRL,Europe,6825.955724231304,2851.5248745169642,7.9556091738680195,8.828487643103879,0.03795123779286344
ISR,Asia,3691.3402252456244,2400.906046405627,7.78360146442922,8.213744875765332,0.018701887449396173
ITA,Europe,3284.1951484313295,2815.6175473026074,7.9429368938862455,8.096876892811451,0.006693043431530693
JAM,Americas,520.1570100632279,381.23216962064174,5.943408558619802,6.254130708429316,0.013509658687370186
JPN,Asia,3633.935731281688,2024.5448151075748,7.613100171610304,8.198071563406687,0.025433538773755794
JOR,Asia,342.1039438393454,354.82641430982653,5.871628696113618,5.835114620240246,-0.0015875685162335636
KAZ,Asia,489.714561097557,200.93030112193702,5.302958087336343,6.193822692996767,0.03873324372436625
KEN,Africa,84.95899115521863,47.30097197777446,3.856530844499746,4.4421686830730645,0.025462514720579067
KIR,Oceania,238.12764715198585,133.5426939491248,4.894421231575987,5.472806862467936,0.02514720134312819
KWT,Asia,1674.0589985778115,964.3975379528559,6.8715035933722515,7.42300649450113,0.023978387005603407
KGZ,Asia,96.2936846455865,52.78173840115728,3.9661652672731558,4.567402736649323,0.02614075953809424
LAO,Asia,27.417734046195676,31.32830531469577,3.444522012045496,3.3111900319956837,-0.005797042610861394
LVA,Europe,1644.8020408364782,473.96144288152584,6.161125974254661,7.405375316041009,0.054097797468971635
LBN,Asia,260.81195457179126,486.32213014654815,6.186871223564425,5.563799667083987,-0.027090067673062525
LSO,Africa,122.6398274405768,37.10986490924382,3.6138828347868133,4.809251827522262,0.05197256490154125
LBR,Africa,103.94123109299929,5.429698427741803,1.691883594234446,4.6438256537760685,0.1283453069365923
